회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
다인합동관세사무소,정규직,"['무역', '수출입', '통관', '수출', '수입', '관세', 'FTA', '수출입통관', '원산지관리사', '관세사']",,"다인 합동관세사무소는 서울 컨설팅본부, 인천항, 인천공항, 부산항 등 주요 입항지에 거점을 두고 있으며, 무역 및 관세에 대한 전문지식을 갖춘 다수의 관세사와 풍부한 실무경험을 갖춘 직원이 무역 업무 전반에 걸쳐 고객을 최우선으로 한다는 마음가짐으로 서비스를 제공하고 있습니다.

젊은 인력들로 구성되어 즐거운 분위기에서 함께 일하며 성장하실 관세사분 모시고자 하오니, 많은 지원 바랍니다.","* FTA컨설팅, 수출입통관, 관세환급, 기타 수출입관련업무 관련업무 유경험자 우대 (수습 관세사 지원가능)
",,,* 점심식대 지원,"서울 강서구 마곡중앙4로 22, A동 902호",['관세사'],['유통/무역'],['관세사']
(주)하이스통해운항공,정규직,['중국어 가능'],,"[주요업무] 
ㆍ 수출 및 수입 문서 작성 및 관리
ㆍ통관 절차 및 규정 준수 검토
ㆍ해외 거래 관련 계약서 및 서류 작성
ㆍ통관 용역사와의 협력 및 협상
ㆍ상품의 품질 및 인증서류 확인
ㆍ负责进出口换单业务、韩国清关派送等相关事宜
ㆍ处理客户来电咨询信息及回复
ㆍ客户维护
ㆍ协助领导处理其他事项","[자격요건] 
ㆍ중국인(한국어 가능)/한국인(중국어 가능)
ㆍ영어가능자 우선",,,,"서울 금천구 가산디지털1로 205-27, 제13층 제오1312호","['관세사', '물류/유통/운송', '수출입관리']",['유통/무역'],"['관세사', '물류/유통/운송', '수출입관리']"
